合约代码,更新时间,最新价,成交量,买价一,买量一,卖价一,卖量一,持仓量,成交金额
sp2105,14:48:53.500,6530,104189,6526,16,6530,78,91494,6.82325e+009
sp2105,14:48:54.0,6530,104190,6526,16,6530,77,91493,6.82331e+009
sp2105,14:48:54.500,6530,104191,6526,16,6530,76,91493,6.82338e+009
sp2105,14:48:55.0,6530,104191,6526,16,6530,76,91493,6.82338e+009
sp2105,14:48:55.500,6530,104193,6526,16,6530,74,91493,6.82351e+009
sp2105,14:48:56.0,6530,104195,6526,16,6530,72,91493,6.82364e+009
sp2105,14:48:56.500,6530,104196,6526,16,6530,71,91493,6.82371e+009
sp2105,14:48:57.0,6530,104197,6526,16,6530,69,91493,6.82377e+009
sp2105,14:48:57.500,6530,104198,6526,16,6530,69,91493,6.82384e+009
sp2105,14:48:58.0,6530,104199,6526,17,6530,68,91493,6.8239e+009
sp2105,14:48:58.500,6530,104201,6528,6,6530,66,91493,6.82403e+009
sp2105,14:48:59.0,6530,104209,6528,10,6530,64,91487,6.82456e+009
sp2105,14:48:59.500,6528,104221,6526,17,6528,6,91484,6.82534e+009
sp2105,14:49:00.0,6528,104230,6526,15,6528,1,91485,6.82593e+009
sp2105,14:49:00.500,6528,104231,6526,15,6528,5,91485,6.82599e+009
sp2105,14:49:01.0,6528,104233,6526,15,6528,6,91486,6.82612e+009
sp2105,14:49:01.500,6528,104234,6526,17,6528,5,91487,6.82619e+009
sp2105,14:49:02.0,6530,104243,6526,25,6530,62,91487,6.82678e+009
sp2105,14:49:02.500,6530,104245,6528,2,6530,60,91487,6.82691e+009
sp2105,14:49:03.0,6530,104245,6528,10,6530,58,91487,6.82691e+009
sp2105,14:49:03.500,6530,104245,6528,23,6530,58,91487,6.82691e+009
sp2105,14:49:04.0,6530,104245,6528,23,6530,58,91487,6.82691e+009
sp2105,14:49:04.500,6530,104254,6528,23,6530,49,91487,6.82749e+009
